farmer_id,gender,age,is_youth,is_pwd,disability_type,farmer_type,has_land_title,county,crop,crop_stage,season,phone_type,preferred_channel,preferred_language,literacy_level,loan_request,completed_repayment_history,missed_repayment,has_formal_credit_history,has_sales_records,has_buyer_records,active_savings_group,savings_group_reliability,cooperative_member,cooperative_reliability,cooperative_repayment_score,reliable_buyer,buyer_payment_reliability,verified_input_purchase,input_purchase_count,input_purchase_frequency,extension_support,mobile_money_consistency,peer_lending_reliability,seasonal_income_pattern,market_payment_consistency,climate_risk_level,pest_risk_level,market_delay_risk,localized_pest_outbreak,localized_drought_exposure,latent_repayment_probability,repayment_outcome,target_repaid_on_time
SYN-29877,female,67,False,False,,Women farmer,False,Kakamega,Tomatoes,harvest,long_rains,feature_phone,ussd,sw,high,17689,False,True,True,False,True,True,weak,True,strong,84.0,True,strong,True,7,high,False,low,strong,moderate,weak,low,high,high,none,low,0.7687,on_time,1
SYN-26500,female,54,False,False,,Women farmer,True,Makueni,Maize,vegetative,short_rains,feature_phone,ussd,en,medium,7802,False,False,False,True,False,True,strong,False,none,,False,none,True,3,medium,False,low,medium,unknown,weak,medium,medium,low,medium,medium,0.6492,fully_repaid,1
SYN-02488,female,61,False,False,,Women farmer,False,Kakamega,Sorghum,harvest,long_rains,feature_phone,ussd,sw,low,7006,True,False,False,False,False,False,none,True,strong,100.0,False,none,False,0,none,False,unknown,weak,moderate,strong,high,medium,high,low,high,0.4254,fully_repaid,1
SYN-08616,male,49,False,False,,Smallholder farmer,False,Uasin Gishu,Maize,vegetative,long_rains,feature_phone,ussd,sw,low,8323,False,False,False,False,True,True,weak,False,none,,True,medium,True,3,medium,True,high,strong,volatile,none,low,medium,medium,medium,low,0.6328,on_time,1
SYN-13380,male,43,False,False,,Smallholder farmer,False,Bungoma,Tomatoes,flowering,short_rains,smartphone,app,en,medium,17471,False,False,False,True,False,True,strong,True,medium,79.0,True,medium,True,1,low,False,low,medium,stable,strong,low,medium,low,medium,low,0.9539,fully_repaid,1
SYN-15389,female,24,True,False,,Youth farmer,False,Bungoma,Potatoes,vegetative,short_rains,feature_phone,ussd,sw,low,12422,False,False,False,False,False,False,none,True,weak,31.0,False,none,True,1,low,False,medium,weak,moderate,medium,low,high,low,high,low,0.1624,defaulted,0
SYN-16342,male,29,True,True,other,PWD farmer,False,Nakuru,Sorghum,vegetative,short_rains,smartphone,ussd,en,medium,6325,False,False,True,True,False,True,medium,False,none,,False,none,True,1,low,False,medium,medium,moderate,strong,medium,medium,medium,medium,medium,0.758,on_time,1
SYN-26449,female,62,False,False,,Women farmer,False,Bungoma,Potatoes,vegetative,long_rains,feature_phone,ussd,en,medium,21341,False,False,False,False,False,True,strong,False,none,,True,weak,True,4,high,False,unknown,medium,volatile,none,low,high,medium,none,low,0.6165,late,0
SYN-22982,male,61,False,False,,Smallholder farmer,False,Machakos,Sorghum,planting,short_rains,smartphone,app,en,low,4905,False,False,False,False,False,True,weak,False,none,,False,none,True,3,medium,False,high,strong,stable,weak,high,high,medium,none,high,0.7111,on_time,1
SYN-14440,male,23,True,False,,Youth farmer,False,Nakuru,Beans,vegetative,short_rains,feature_phone,ussd,en,high,6794,False,False,False,True,False,True,medium,True,medium,66.0,False,none,True,1,low,False,medium,medium,moderate,strong,medium,low,low,low,medium,0.8818,on_time,1
SYN-08846,male,21,True,False,,Youth farmer,False,Kakamega,Potatoes,harvest,short_rains,smartphone,app,en,medium,14228,False,False,True,True,False,True,weak,True,medium,45.0,False,none,False,0,none,True,medium,weak,volatile,none,medium,medium,low,low,medium,0.6395,restructured,0
SYN-26607,female,61,False,False,,Women farmer,False,Kisumu,Beans,planting,dry_season,feature_phone,ussd,en,medium,10052,False,False,False,True,True,False,none,False,none,,True,medium,True,7,high,True,medium,strong,moderate,medium,low,low,low,low,low,0.9505,fully_repaid,1
SYN-24355,male,26,True,False,,Youth farmer,False,Kisumu,Maize,flowering,long_rains,smartphone,ussd,sw,high,6783,False,True,True,True,True,False,none,False,none,,True,strong,True,6,high,False,low,medium,unknown,weak,medium,medium,low,medium,medium,0.5831,restructured,0
SYN-23888,female,65,False,False,,Women farmer,False,Kisumu,Vegetables,planting,long_rains,feature_phone,ussd,sw,medium,11904,False,True,False,True,False,True,strong,True,weak,39.0,True,medium,True,7,high,True,unknown,none,unknown,none,high,medium,medium,medium,high,0.2541,late,0
SYN-04876,female,57,False,False,,Women farmer,False,Uasin Gishu,Sorghum,planting,short_rains,feature_phone,ussd,en,high,7420,True,False,False,True,True,True,weak,False,none,,True,medium,True,3,medium,True,unknown,weak,unknown,medium,low,medium,high,low,low,0.9177,fully_repaid,1
SYN-04325,female,18,True,False,,Youth farmer,False,Uasin Gishu,Vegetables,planting,dry_season,feature_phone,ussd,sw,low,27367,True,True,False,False,True,False,none,True,medium,77.0,True,strong,False,0,none,False,medium,none,volatile,none,low,high,medium,high,low,0.3232,restructured,0
SYN-10400,female,19,True,False,,Youth farmer,False,Uasin Gishu,Maize,vegetative,dry_season,feature_phone,ussd,en,medium,9455,False,False,False,True,True,True,medium,True,medium,28.0,True,medium,True,5,high,False,medium,none,unknown,strong,high,medium,high,low,high,0.7833,fully_repaid,1
SYN-05162,female,40,False,False,,Women farmer,False,Bungoma,Tomatoes,harvest,dry_season,shared_phone,ussd,en,medium,11911,True,False,False,True,False,True,medium,True,medium,46.0,False,none,True,5,high,False,medium,strong,moderate,none,low,high,high,none,low,0.9333,early,1
SYN-25463,male,53,False,False,,Smallholder farmer,True,Kisumu,Beans,planting,long_rains,feature_phone,ussd,sw,low,9778,True,False,False,True,False,True,strong,True,weak,50.0,False,none,False,0,none,True,medium,weak,stable,weak,high,medium,medium,low,high,0.7452,late,0
SYN-23492,female,36,False,False,,Women farmer,False,Kakamega,Tomatoes,flowering,long_rains,smartphone,app,sw,medium,14748,True,False,False,True,True,True,strong,True,medium,70.0,True,medium,True,1,low,True,unknown,weak,stable,medium,low,medium,low,low,low,0.9559,on_time,1
SYN-06997,female,54,False,False,,Women farmer,True,Machakos,Vegetables,vegetative,long_rains,smartphone,sms,en,high,13169,True,False,True,False,False,False,none,False,none,,False,none,True,3,medium,False,medium,medium,volatile,weak,high,medium,low,medium,high,0.2467,restructured,0
SYN-17751,female,44,False,False,,Women farmer,False,Makueni,Maize,vegetative,long_rains,smartphone,app,en,low,9681,True,False,True,True,True,True,strong,True,medium,100.0,True,strong,True,1,low,False,low,none,volatile,weak,high,medium,high,medium,high,0.6558,late,0
SYN-07811,female,22,True,True,mobility,PWD farmer,False,Nakuru,Sorghum,vegetative,long_rains,shared_phone,ussd,en,high,7573,True,False,False,False,True,False,none,True,medium,75.0,True,medium,True,1,low,False,high,medium,volatile,none,medium,medium,high,medium,medium,0.5667,late,0
SYN-05907,male,26,True,False,,Youth farmer,False,Machakos,Maize,vegetative,short_rains,shared_phone,ussd,sw,medium,10466,True,True,True,True,False,False,none,False,none,,False,none,True,3,medium,False,medium,medium,volatile,weak,high,medium,high,low,high,0.1403,restructured,0
SYN-07635,female,50,False,False,,Women farmer,True,Uasin Gishu,Vegetables,vegetative,short_rains,feature_phone,ussd,en,high,15197,True,True,False,False,False,True,weak,True,strong,87.0,False,none,False,0,none,True,low,strong,moderate,medium,high,low,high,none,high,0.3443,late,0
SYN-14908,male,47,False,False,,Smallholder farmer,False,Kakamega,Maize,flowering,long_rains,feature_phone,ussd,en,low,7424,True,False,False,False,False,True,medium,True,medium,68.0,False,none,True,1,low,True,high,medium,volatile,weak,medium,medium,medium,medium,medium,0.5826,fully_repaid,1
SYN-03880,female,19,True,False,,Youth farmer,True,Kisumu,Sorghum,vegetative,short_rains,smartphone,sms,en,low,5421,True,True,False,False,False,True,weak,True,strong,77.0,False,none,True,2,medium,False,medium,strong,stable,none,medium,high,medium,high,medium,0.4964,defaulted,0
SYN-12603,male,33,True,False,,Youth farmer,False,Bungoma,Tomatoes,harvest,dry_season,smartphone,app,sw,high,18942,False,False,True,False,False,True,strong,False,none,,False,none,False,0,none,False,medium,weak,volatile,none,low,low,low,low,low,0.2959,restructured,0
SYN-00516,female,35,False,False,,Women farmer,True,Kakamega,Maize,vegetative,long_rains,feature_phone,ussd,sw,medium,9610,False,False,False,True,False,True,strong,True,strong,68.0,False,none,True,1,low,False,low,none,moderate,none,medium,medium,medium,medium,medium,0.2803,late,0
SYN-10605,female,43,False,False,,Women farmer,False,Uasin Gishu,Beans,planting,long_rains,feature_phone,ussd,en,medium,5706,True,False,False,False,False,True,medium,False,none,,False,none,False,0,none,True,medium,none,moderate,medium,low,low,medium,none,low,0.8102,early,1
SYN-21135,female,45,False,False,,Women farmer,False,Makueni,Vegetables,harvest,short_rains,shared_phone,ussd,sw,low,15285,True,False,False,False,False,False,none,False,none,,False,none,True,3,medium,True,low,weak,moderate,weak,low,medium,high,medium,low,0.5107,on_time,1
SYN-15079,male,43,False,False,,Smallholder farmer,True,Makueni,Maize,vegetative,short_rains,smartphone,ussd,en,low,8231,True,False,False,False,False,True,medium,True,weak,57.0,False,none,True,1,low,True,medium,none,moderate,weak,high,low,medium,low,high,0.618,late,0
SYN-15832,female,53,False,False,,Women farmer,True,Bungoma,Beans,flowering,dry_season,smartphone,app,en,low,5494,False,False,False,False,False,True,medium,False,none,,False,none,False,0,none,False,medium,weak,stable,medium,medium,low,medium,none,medium,0.6845,late,0
SYN-04810,male,36,False,False,,Smallholder farmer,False,Nakuru,Potatoes,vegetative,short_rains,feature_phone,ussd,en,medium,10895,True,True,False,False,True,False,none,False,none,,True,weak,True,1,low,True,low,none,volatile,weak,medium,high,high,high,medium,0.0439,defaulted,0
SYN-12190,female,58,False,False,,Women farmer,True,Nakuru,Maize,vegetative,long_rains,smartphone,sms,en,medium,11157,True,False,False,True,True,True,medium,True,medium,87.0,True,strong,True,7,high,False,high,medium,volatile,strong,high,low,medium,low,high,0.9615,on_time,1
SYN-11129,male,63,False,True,other,PWD farmer,True,Kakamega,Potatoes,vegetative,long_rains,smartphone,ussd,en,medium,15616,True,False,False,True,True,False,none,False,none,,True,strong,True,4,high,False,low,medium,moderate,medium,low,medium,low,none,low,0.977,on_time,1
SYN-17034,female,64,False,False,,Women farmer,False,Kisumu,Maize,vegetative,short_rains,smartphone,sms,en,low,9903,True,True,False,True,True,False,none,True,medium,63.0,True,weak,True,4,high,False,medium,medium,volatile,strong,medium,medium,high,low,medium,0.6063,on_time,1
SYN-24975,female,64,False,False,,Women farmer,False,Makueni,Potatoes,flowering,long_rains,smartphone,sms,en,medium,18957,True,True,False,True,False,False,none,True,medium,62.0,False,none,True,4,high,False,medium,medium,stable,medium,high,medium,medium,low,high,0.6808,restructured,0
SYN-14773,female,49,False,False,,Women farmer,False,Machakos,Potatoes,vegetative,long_rains,feature_phone,ussd,en,medium,9900,False,False,False,False,True,True,strong,True,strong,66.0,True,weak,True,3,medium,False,medium,strong,moderate,medium,high,low,medium,none,high,0.8765,late,0
SYN-00922,female,63,False,False,,Women farmer,False,Kisumu,Maize,planting,short_rains,smartphone,app,en,high,11187,True,False,False,False,False,True,medium,True,strong,76.0,False,none,True,2,medium,False,high,strong,moderate,none,medium,medium,medium,low,medium,0.9341,on_time,1
SYN-18759,female,52,False,True,visual,PWD farmer,False,Kisumu,Potatoes,vegetative,dry_season,shared_phone,ussd,sw,high,11592,True,False,True,False,False,True,medium,False,none,,False,none,True,4,high,True,medium,none,stable,medium,medium,medium,high,none,medium,0.8875,on_time,1
SYN-12850,female,39,False,False,,Women farmer,True,Kakamega,Vegetables,planting,long_rains,feature_phone,ussd,en,medium,19134,True,False,False,True,False,True,medium,False,none,,False,none,True,1,low,False,low,weak,moderate,weak,medium,medium,low,none,medium,0.6197,late,0
SYN-09474,male,65,False,True,visual,PWD farmer,False,Kakamega,Tomatoes,planting,dry_season,smartphone,ussd,en,medium,11826,True,False,False,True,True,False,none,True,medium,59.0,True,medium,True,2,medium,False,medium,strong,moderate,weak,high,medium,high,medium,high,0.6125,restructured,0
SYN-17641,male,59,False,False,,Smallholder farmer,True,Machakos,Maize,planting,short_rains,shared_phone,ussd,sw,medium,12708,False,False,False,False,True,True,weak,True,medium,60.0,True,weak,True,1,low,False,high,medium,moderate,strong,high,medium,medium,medium,high,0.4162,late,0
SYN-03482,female,24,True,False,,Youth farmer,False,Kakamega,Vegetables,vegetative,long_rains,feature_phone,ussd,en,medium,11599,True,True,False,False,False,True,medium,True,medium,34.0,True,strong,True,2,medium,False,medium,medium,moderate,weak,low,medium,low,medium,low,0.6014,restructured,0
SYN-26903,female,56,False,False,,Women farmer,True,Makueni,Beans,vegetative,long_rains,smartphone,app,en,medium,9487,False,False,False,True,False,True,strong,False,none,,True,strong,True,1,low,False,medium,weak,unknown,none,low,medium,low,medium,low,0.7299,on_time,1
SYN-15505,female,56,False,True,mobility,PWD farmer,True,Nakuru,Sorghum,harvest,dry_season,smartphone,app,sw,high,7162,True,False,False,True,True,True,medium,False,none,,True,medium,True,2,medium,False,unknown,medium,moderate,medium,high,medium,high,medium,high,0.7815,on_time,1
SYN-01505,female,67,False,False,,Women farmer,False,Machakos,Maize,harvest,dry_season,shared_phone,ussd,en,low,11770,True,False,False,False,False,False,none,False,none,,False,none,True,3,medium,False,medium,weak,unknown,none,high,high,medium,medium,high,0.303,defaulted,0
SYN-18120,female,41,False,False,,Women farmer,False,Kisumu,Sorghum,vegetative,dry_season,feature_phone,ussd,sw,low,4965,True,False,True,True,False,True,medium,False,none,,False,none,True,5,high,False,low,none,volatile,medium,high,high,medium,high,high,0.278,restructured,0
SYN-18345,male,33,True,False,,Youth farmer,False,Nakuru,Sorghum,vegetative,short_rains,feature_phone,ussd,sw,low,6910,True,False,True,True,False,True,weak,False,none,,False,none,True,2,medium,True,high,medium,moderate,none,medium,high,high,high,medium,0.489,late,0
SYN-25987,male,19,True,True,visual,PWD farmer,False,Kisumu,Potatoes,planting,long_rains,feature_phone,ussd,sw,low,12619,True,False,True,True,True,False,none,True,strong,100.0,True,weak,True,5,high,True,medium,none,moderate,medium,high,high,high,medium,high,0.8934,late,0
SYN-28884,male,56,False,False,,Smallholder farmer,True,Uasin Gishu,Sorghum,vegetative,short_rains,smartphone,app,en,medium,7303,False,False,False,True,False,True,medium,True,medium,59.0,False,none,True,2,medium,False,unknown,weak,volatile,strong,medium,medium,low,medium,medium,0.8842,on_time,1
SYN-23247,male,59,False,False,,Smallholder farmer,False,Uasin Gishu,Sorghum,harvest,short_rains,feature_phone,ussd,en,medium,8894,False,False,False,True,False,False,none,True,weak,50.0,False,none,True,3,medium,True,medium,medium,volatile,weak,medium,medium,high,none,medium,0.6199,fully_repaid,1
SYN-21621,male,24,True,False,,Youth farmer,False,Kakamega,Maize,flowering,dry_season,feature_phone,ussd,en,medium,8296,True,False,False,False,True,True,medium,False,none,,True,medium,True,2,medium,True,high,strong,volatile,medium,low,low,medium,none,low,0.9346,on_time,1
SYN-16848,male,55,False,False,,Smallholder farmer,True,Kakamega,Maize,vegetative,long_rains,smartphone,ussd,en,medium,8155,False,False,False,False,False,True,strong,False,none,,False,none,True,1,low,True,medium,medium,volatile,strong,low,medium,low,low,low,0.8097,late,0
SYN-05212,female,21,True,False,,Youth farmer,False,Kisumu,Potatoes,planting,long_rains,feature_phone,ussd,en,medium,20772,False,False,True,False,False,True,strong,True,medium,53.0,False,none,True,1,low,True,medium,strong,moderate,medium,medium,medium,medium,low,medium,0.9134,on_time,1
SYN-04799,male,36,False,False,,Smallholder farmer,False,Nakuru,Maize,vegetative,long_rains,feature_phone,ussd,en,medium,8928,False,False,False,False,False,False,none,True,weak,36.0,False,none,True,3,medium,True,high,weak,moderate,none,high,high,high,high,high,0.1328,late,0
SYN-23361,male,30,True,False,,Youth farmer,True,Makueni,Potatoes,harvest,long_rains,feature_phone,ussd,sw,medium,5272,True,False,True,True,False,True,strong,False,none,,False,none,True,1,low,False,high,medium,volatile,medium,high,high,medium,high,high,0.7054,fully_repaid,1
SYN-06838,female,47,False,False,,Women farmer,False,Kakamega,Vegetables,planting,long_rains,feature_phone,ussd,en,low,19688,True,True,False,False,True,True,medium,False,none,,True,medium,True,3,medium,False,low,weak,stable,weak,medium,medium,high,none,medium,0.3963,on_time,1
SYN-07351,female,48,False,False,,Women farmer,False,Makueni,Tomatoes,planting,short_rains,feature_phone,ussd,sw,medium,19466,False,False,False,False,False,False,none,True,medium,69.0,False,none,True,1,low,True,unknown,medium,volatile,weak,medium,medium,medium,medium,medium,0.2063,restructured,0
SYN-18301,female,22,True,False,,Youth farmer,False,Uasin Gishu,Maize,harvest,long_rains,feature_phone,ussd,en,medium,6996,True,False,True,False,True,True,strong,True,medium,63.0,True,medium,True,2,medium,True,unknown,medium,moderate,weak,high,high,medium,low,high,0.9059,on_time,1
SYN-15315,female,44,False,False,,Women farmer,True,Machakos,Maize,vegetative,long_rains,shared_phone,ussd,en,medium,13230,False,False,False,False,False,True,medium,False,none,,False,none,True,2,medium,False,low,strong,volatile,weak,low,high,high,high,low,0.1537,defaulted,0
SYN-06234,female,60,False,False,,Women farmer,False,Makueni,Sorghum,vegetative,dry_season,smartphone,app,en,medium,11168,True,False,False,False,False,False,none,True,medium,78.0,False,none,True,1,low,False,unknown,strong,volatile,medium,medium,low,high,low,medium,0.1244,late,0
SYN-05464,female,65,False,False,,Women farmer,False,Bungoma,Vegetables,flowering,long_rains,feature_phone,ussd,sw,high,15638,True,False,True,False,True,False,none,True,medium,70.0,True,strong,True,1,low,True,low,none,moderate,none,low,low,medium,low,low,0.6334,fully_repaid,1
SYN-24016,male,58,False,False,,Smallholder farmer,False,Bungoma,Tomatoes,planting,long_rains,shared_phone,ussd,en,low,21409,False,False,False,True,False,True,strong,False,none,,False,none,True,3,medium,True,medium,medium,moderate,medium,low,medium,medium,none,low,0.9111,on_time,1
SYN-07001,female,32,True,False,,Youth farmer,False,Machakos,Maize,flowering,long_rains,smartphone,ussd,en,medium,6973,False,False,False,True,False,False,none,False,none,,False,none,True,2,medium,False,unknown,strong,moderate,medium,medium,high,medium,low,medium,0.5451,early,1
SYN-15802,female,53,False,False,,Women farmer,False,Bungoma,Maize,planting,dry_season,smartphone,sms,sw,medium,15330,True,False,False,False,False,False,none,True,weak,68.0,False,none,True,7,high,False,high,strong,moderate,weak,high,medium,medium,medium,high,0.6063,restructured,0
SYN-01035,female,36,False,False,,Women farmer,False,Makueni,Beans,planting,dry_season,feature_phone,ussd,en,medium,10105,True,False,False,True,False,False,none,False,none,,False,none,False,0,none,True,high,weak,moderate,strong,low,medium,medium,low,low,0.7908,late,0
SYN-24196,male,41,False,False,,Smallholder farmer,True,Nakuru,Potatoes,harvest,long_rains,feature_phone,ussd,en,medium,15560,True,True,False,True,True,True,strong,True,medium,54.0,True,strong,True,2,medium,False,low,none,unknown,weak,medium,low,medium,low,medium,0.8424,fully_repaid,1
SYN-05657,female,37,False,False,,Women farmer,False,Nakuru,Vegetables,flowering,long_rains,feature_phone,ussd,en,medium,16464,True,False,True,True,False,True,strong,True,strong,81.0,False,none,True,4,high,True,medium,weak,moderate,none,medium,medium,high,low,medium,0.9778,on_time,1
SYN-28715,male,36,False,False,,Smallholder farmer,True,Nakuru,Potatoes,flowering,short_rains,feature_phone,ussd,en,medium,9500,False,False,False,True,False,False,none,True,medium,73.0,True,weak,True,3,medium,True,high,none,moderate,medium,high,high,high,medium,high,0.6278,fully_repaid,1
SYN-06780,male,19,True,False,,Youth farmer,False,Makueni,Potatoes,planting,short_rains,smartphone,app,sw,high,18107,True,False,False,False,True,True,strong,True,medium,47.0,True,weak,True,1,low,True,medium,medium,volatile,medium,medium,medium,high,low,medium,0.812,on_time,1
SYN-16939,male,43,False,False,,Smallholder farmer,True,Uasin Gishu,Maize,harvest,long_rains,shared_phone,ussd,sw,low,11555,False,False,False,False,True,False,none,False,none,,True,medium,True,1,low,False,low,medium,moderate,none,medium,medium,high,none,medium,0.2892,late,0
SYN-23418,male,22,True,True,other,PWD farmer,False,Kisumu,Maize,flowering,long_rains,smartphone,app,en,medium,11717,True,False,True,True,False,True,medium,True,weak,52.0,False,none,True,2,medium,True,medium,weak,stable,weak,medium,medium,low,medium,medium,0.9439,on_time,1
SYN-20355,female,26,True,False,,Youth farmer,False,Uasin Gishu,Beans,vegetative,long_rains,smartphone,ussd,en,medium,10917,False,False,True,True,False,True,medium,True,weak,49.0,False,none,True,3,medium,False,medium,medium,volatile,weak,medium,medium,medium,medium,medium,0.303,restructured,0
SYN-29981,female,61,False,False,,Women farmer,False,Kakamega,Tomatoes,flowering,dry_season,feature_phone,ussd,en,medium,27806,True,True,False,True,False,False,none,False,none,,False,none,True,3,medium,True,high,strong,unknown,medium,medium,high,medium,high,medium,0.3217,restructured,0
SYN-10160,male,35,False,True,other,PWD farmer,True,Kisumu,Vegetables,planting,long_rains,feature_phone,ussd,sw,medium,18255,False,False,True,False,False,True,strong,True,weak,66.0,False,none,True,5,high,True,unknown,medium,stable,weak,low,medium,low,medium,low,0.7674,restructured,0
SYN-12481,female,42,False,False,,Women farmer,False,Uasin Gishu,Beans,planting,short_rains,feature_phone,ussd,sw,high,10256,False,False,False,True,False,False,none,False,none,,False,none,True,2,medium,False,low,weak,volatile,weak,medium,high,high,medium,medium,0.2192,on_time,1
SYN-00419,male,49,False,False,,Smallholder farmer,True,Uasin Gishu,Beans,vegetative,short_rains,smartphone,ussd,sw,medium,10079,True,False,False,True,True,False,none,True,strong,88.0,True,strong,True,1,low,True,low,none,stable,strong,medium,high,high,none,medium,0.9502,late,0
SYN-20668,female,63,False,True,visual,PWD farmer,True,Machakos,Sorghum,vegetative,long_rains,feature_phone,ussd,sw,medium,7033,False,False,False,False,False,True,medium,True,strong,89.0,True,weak,False,0,none,True,low,medium,moderate,weak,medium,low,medium,low,medium,0.678,on_time,1
SYN-00467,male,56,False,True,other,PWD farmer,False,Makueni,Vegetables,vegetative,long_rains,feature_phone,ussd,sw,medium,19252,False,False,False,True,True,True,strong,False,none,,True,medium,True,2,medium,True,medium,none,moderate,strong,high,medium,low,medium,high,0.9478,on_time,1
SYN-03813,male,63,False,False,,Smallholder farmer,True,Nakuru,Vegetables,planting,short_rains,feature_phone,ussd,en,medium,10271,True,False,False,True,False,True,medium,False,none,,False,none,True,5,high,True,high,medium,volatile,weak,low,low,low,none,low,0.9096,late,0
SYN-10728,male,39,False,False,,Smallholder farmer,False,Machakos,Maize,flowering,long_rains,smartphone,sms,en,high,9560,False,True,False,False,False,True,medium,False,none,,False,none,True,2,medium,True,unknown,weak,stable,medium,high,high,high,high,high,0.1368,defaulted,0
SYN-22023,female,28,True,False,,Youth farmer,False,Makueni,Sorghum,planting,long_rains,feature_phone,ussd,en,low,7180,False,False,False,False,True,True,strong,False,none,,True,medium,True,2,medium,False,medium,weak,moderate,none,high,high,medium,medium,high,0.2721,defaulted,0
SYN-13254,male,31,True,True,mobility,PWD farmer,False,Bungoma,Maize,planting,short_rains,feature_phone,ussd,sw,medium,10677,False,False,False,False,False,False,none,False,none,,False,none,True,7,high,False,high,medium,moderate,none,low,medium,medium,medium,low,0.3532,restructured,0
SYN-23054,female,30,True,False,,Youth farmer,False,Kisumu,Sorghum,planting,short_rains,feature_phone,ussd,sw,low,10279,False,False,False,False,True,False,none,False,none,,True,weak,True,2,medium,False,high,weak,unknown,medium,low,low,low,low,low,0.7541,on_time,1
SYN-22165,male,45,False,False,,Smallholder farmer,False,Uasin Gishu,Vegetables,vegetative,dry_season,feature_phone,ussd,en,medium,18422,True,True,False,False,False,True,medium,True,medium,71.0,False,none,True,3,medium,False,medium,strong,volatile,strong,high,medium,low,medium,high,0.6313,restructured,0
SYN-15213,female,19,True,True,hearing,PWD farmer,True,Uasin Gishu,Maize,flowering,long_rains,smartphone,ussd,en,medium,13368,True,False,True,False,False,True,medium,False,none,,False,none,True,3,medium,False,medium,weak,moderate,strong,high,low,high,none,high,0.7762,restructured,0
SYN-23683,male,32,True,False,,Youth farmer,False,Kakamega,Maize,planting,short_rains,shared_phone,ussd,en,low,7271,True,True,True,True,False,False,none,True,medium,56.0,False,none,True,1,low,False,high,strong,moderate,weak,low,low,high,low,low,0.512,late,0
SYN-05034,male,30,True,False,,Youth farmer,False,Machakos,Potatoes,harvest,short_rains,feature_phone,ussd,en,medium,16162,True,False,False,True,False,True,weak,True,strong,97.0,False,none,True,6,high,True,medium,medium,volatile,none,low,medium,low,medium,low,0.9428,fully_repaid,1
